date,total_clones,unique_clones
2022-10-09,1,1
2022-10-10,0,0
2022-10-11,0,0
2022-10-12,5,4
2022-10-13,0,0
2022-10-14,0,0
2022-10-15,0,0
2022-10-16,0,0
2022-10-17,1,1
2022-10-18,0,0
2022-10-19,6,5
2022-10-20,1,1
2022-10-21,2,2
2022-10-22,5,3
2022-10-23,4,3
2022-10-24,4,3
2022-10-25,5,4
2022-10-26,1,1
2022-10-27,4,3
2022-10-28,5,4
2022-10-29,6,5
2022-10-30,5,4
2022-10-31,3,2
2022-11-01,4,3
2022-11-02,5,4
2022-11-03,5,4
2022-11-04,6,5
2022-11-05,6,5
2022-11-06,3,3
2022-11-07,6,5
2022-11-08,4,3
2022-11-09,0,0
